ClusterID,AnzahlPunkte,R,G,B,HEX
0,2469,1,1,0,#010100
1,161,249,246,239,#F9F6EF
4,117,252,142,249,#FC8EF9
3,93,198,45,1,#C62D01
2,58,251,214,2,#FBD602
5,12,27,77,211,#1B4DD3
6,10,52,249,0,#34F900
